tweet_id,thread_id,customer_message,response,intent,should_escalate,escalation_reason,notes
36119,36118.0,@AppleSupport You too!,@123856 Thank you!,other_unclear,no,No active support action is required,Simple acknowledgment; no problem is being reported.
1697372,1697372.0,My iPhone 7 has been trash all weekend. And Still today ... wtf @115858 https://t.co/AkcI0KFupb,@395006 We'll be happy to provide you with our recommendations on how to proceed. What’s going on with your iPhone 7?,other_unclear,yes,Insufficient information to safely determine the problem,Customer says the phone has been bad but gives no specific symptom.
2295423,2295424.0,@666519 @AppleSupport I updated my watch last night. Maybe that triggered it. Never had problem until today !  Will update phone tonight 😏,"@666518 Let's help. To address this behavior, please check out: https://t.co/xU1AGHStV6",other_unclear,yes,Insufficient information to safely determine the problem,Mentions a Watch update but never states the problem that followed.
1674690,1674690.0,@AppleSupport  fix this “ I️ “ SHIT!,@509541 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,The complaint about the I character matches the recurring keyboard/text-input bug.
1147042,1147042.0,"Yo @115858 @AppleSupport , iOS 11.0.3 is crippling my IPhone 6s. Pretty sure I’m not the only one. Please fix with update ASAP!!!",@389960 We want to learn more about the issues you're having with your iPhone 6s to see how we can help. Provide us some details.,ios_update_issue,no,Common update troubleshooting can be automated,Customer explicitly attributes the iPhone 6s problems to iOS 11.0.3.
618565,618564.0,@AppleSupport iphone 6 and 7 plus,@266758 DM us and we can take a look at this. https://t.co/GDrqU22YpT,other_unclear,yes,Insufficient information to safely determine the problem,Only provides an iPhone 6/7 Plus model reference.
2118478,2118478.0,?????? why is everyone having this problem ???? @115858 https://t.co/zLHGrbrgjT,@624342 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_unclear,yes,Insufficient information to safely determine the problem,Vague complaint with a link but no identifiable issue.
36119,36118.0,@AppleSupport You too!,@123856 Thank you!,other_unclear,no,No active support action is required,Simple acknowledgment; no problem is being reported.
2080791,2080791.0,@AppleSupport my phone keeps freezing and reseting itself??,@615331 We want to help. DM us the country you're in and any other details on your iPhone and the issue. We'll go from there. https://t.co/GDrqU22YpT,restart_boot_issue,no,Standard restart troubleshooting can be automated,Phone repeatedly freezes and resets itself.
33413,33414.0,@AppleSupport  https://t.co/2vVFr3ZYiK,@123391 Allow us to assist. Send us a DM so that we can help you with this. https://t.co/GDrqU22YpT,other_unclear,yes,Insufficient information to safely determine the problem,Only provides a link without explaining the issue.
