intent,definition,include,exclude
battery_issue,Problems with battery life health draining overheating or unexpected battery behavior,"battery drains quickly; battery percentage drops unusually; overheating related to battery","charging the device; general performance problems"
ios_update_issue,Problems installing completing or functioning correctly after an iOS/iPadOS update,"update failed; update stuck; bugs explicitly attributed to update","battery problems after update unless battery is the primary complaint"
performance_freezing,Device or apps become slow frozen unresponsive or crash,"freezing; lag; apps crashing; general slowness","repeated rebooting; battery-specific complaints"
restart_boot_issue,Device unexpectedly restarts or has trouble starting,"random restarts; boot loops; phone won't start","freezing without restarting"
charging_issue,Problems charging the device or with charging accessories,"won't charge; accessory not supported; charging connection","battery draining while already charged"
audio_call_issue,Problems hearing or producing sound during calls or general audio use,"can't hear callers; microphone; ringtone; speaker; audio output","music-content questions"
display_touch_issue,Problems with screen display touch input or keyboard interaction,"screen issues; touch not responding; keyboard problems; display glitches","app-specific problems when screen itself works"
network_connectivity,Problems connecting through Wi-Fi cellular Bluetooth or similar connections,"Wi-Fi; cellular; Bluetooth; connectivity","Apple ID or iCloud access"
account_icloud_issue,Problems with Apple ID iCloud account access or device/account lockout,"Apple ID; iCloud; locked account; account access","device passcode issues without account context"
apps_media_issue,Problems involving apps music podcasts or other media services,"apps; Apple Music; Podcasts; media behavior","general device performance"
purchase_order_support,Questions or problems involving Apple purchases orders reservations or store support,"order; reservation; purchase; Apple Store","technical device issues"
how_to_feature_question,Questions about how a feature works or whether something is possible,"Can I; How do I; where is setting; feature availability","an existing malfunction or failure"
other_unclear,Messages that do not contain enough information or do not fit another category,"vague requests; unsupported topics; unclear intent","messages that clearly fit another intent"
