tweet_id,customer_message,response,intent,notes
2293470,"@AppleSupport I had 7,000 pictures, now I only have 180... where the hell are my pictures???",@666005 We want to help. Which iOS version are you on?,account_icloud_issue,Missing photos; likely an iCloud/Photos sync or account-storage issue. No dedicated Photos/iCloud-sync intent yet.
2567097,@AppleSupport (in the current environment we are never sure that the activation lock screen is from iOS ...),@728195 We want to do our best to address your concerns. Let's go ahead and meet in DM and we'll continue there. https://t.co/GDrqU2kzhr,account_icloud_issue,Activation Lock is an account/device-lock issue.
1582072,@AppleSupport I restarted my MacBook but a folder with a question mark on it appeared on the screen and flashed.,@232196 Got it. Give these steps a try and let us know how it goes: https://t.co/D7AZk8szDr,restart_boot_issue,"MacBook shows a folder with a question mark after restart, indicating a startup/boot problem."
154478,"Hey @AppleSupport, little weather app bug https://t.co/GPVTnW2d8x",@151403 We'd love to look into this with you. Which version of the operating system is your iPhone running? Does this happen with any other city or zip code? Have you restarted your iPhone since this started?,apps_media_issue,Explicitly reports a bug in the Weather app.
1584688,Umm the x can’t show battery percentage ? @AppleSupport I’ll be upset I can’t be guessing battery life,@487627 Congratulations on your new iPhone X! You can view the battery percentage through the Control Center on the device.,battery_issue,Customer is asking about battery percentage/battery life.
2502050,"@AppleSupport why does my music app now not work? Whenever I go on it it just crashes, I love to listen to music but I can’t now because of this bug. Please respond",@713680 Let's get working on this so you can enjoy your music again. Are you an Apple Music subscriber or do you purchase and/or sync music through iTunes?,apps_media_issue,Music app crashes when opened; primary problem is an app/media failure.
2297349,"@AppleSupport I have the High Sierra version ! It doesn’t crash the application it just ends the call. Now if I don’t open iTunes i can’t forward or rewind a song, I have to be on the app then exit .. it’s just all malfunctioning",@596017 Got it. Let's go ahead and meet within DM here so we can look into this with you further: https://t.co/GDrqU22YpT,apps_media_issue,Music playback/app behavior is malfunctioning; not primarily an iOS-update complaint.
2271820,@AppleSupport How do I retrograde iOS 11 to 10 on my iPhone 6. It should have never permitted the update because 11 has made it SO SLOW.,@660929 We'd like to look into this with you. Click here to join us in DM: https://t.co/GDrqU22YpT,ios_update_issue,Customer wants to downgrade iOS because iOS 11 made the phone slow.
2020322,@TwitterSupport why does my twitter crash whenever i try to open a photo tf is going on @AppleSupport you too can chime in whenever,"@597460 We'd like to assist. Which iOS does this occur on? Also, are you showing any updates in the App Store? Let us know in DM. https://t.co/GDrqU22YpT",apps_media_issue,Twitter app crashes when opening a photo.
488064,My computer is running slower than a one-legged turtle in molasses. Hey @115858 can y'all work out the bugs BEFORE you release an OS update?,"@231179 Hey there. Let's see if we can get that Mac to speed up for you. Please follow the steps in this article to improve your performance: 

https://t.co/BYPMWmsijV",performance_freezing,Mac is extremely slow; customer explicitly complains about performance.
567703,"@AppleSupport I keep plugging my phone in, but it won't charge and keeps saying accessory not supported. It's not a portable third party thing either, I'm using the cable that come with the phone. It's an Iphone 7 with the newest iOS update.","@253158 Help has arrived. Based on that message, try the applicable steps in the section ""If an alert says that your accessory isn't supported or certified"" here: https://t.co/uqxquyfdn0

Let us know in DM if that helps. https://t.co/GDrqU22YpT",charging_issue,Phone will not charge and reports unsupported accessory
2286708,@AppleSupport I️m on the iPhone 6 and it started after the update before the last IOS,@664424 Do you generally only notice this if you’re currently using your keyboard? Please let us know in DM to proceed. https://t.co/GDrqU22YpT,other_unclear,Says an issue started after an update but does not describe the actual problem. Insufficient information.
2727020,Apple needs to get their shit together when it comes to updates. EVERY SINGLE TIME I download the new update my phone stops working property tf! So freaking annoying!!! 😒@115858 @AppleSupport @118936 @115948,@672104 Having your iPhone work as you expect is our goal. Let's pair up in DM to get a closer look at what you're seeing with that update. https://t.co/GDrqU22YpT,ios_update_issue,Repeatedly reports phone problems after downloading updates.
2321165,"@AppleSupport I have wifi assist off !! Its weird coz I have two phones and carry them both (iPhone8 and iPhoneX) , this issue is only on X. It only started after upgrading. Anyways, I ll monitor it more and respond back if problem persists.","@672656 Definitely keep us in the loop, we're here for you.",ios_update_issue,Issue explicitly started after upgrading; customer discusses Wi-Fi and other symptoms. Update is the stated trigger.
2050982,@AppleSupport Everything is fine in contacts app. Numbers are all still there. Just seems like “recents” is blowing out the info I actually want to see.,@165736 We'll be glad to assist. What happens if you type in the phone number instead of the contact name? You can send us a DM. https://t.co/GDrqU22YpT,apps_media_issue,Problem with the Contacts app's “Recents” display.
1558116,"Yes,@115858 please fix it 

https://t.co/jrK3xisHLh","@481592 Hi. We are here to help. Check out this link which should help:

https://t.co/xU1AGHStV6",other_unclear,“Please fix it” plus a link gives insufficient information to identify an intent.
268245,@AppleSupport en alguna de sus actualizaciones arreglaran algo que en realidad sirva en su basura de #iOS11 ? Mi iPad lleva dos dias así... https://t.co/6vpanZrJeW,@179964 We offer support via Twitter in English.Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ios_update_issue,Complains about iOS 11 updates and their usefulness/problems.
152849,@AppleSupport Hotmail sending worked after installing the iOS 11.1.2 update. Thanks for your help.,"@150959 We're glad to hear you can send emails again. You're welcome. If you need any further help, let us know.",other_unclear,Positive confirmation that Hotmail worked after an update; no active support request.
1234742,@AppleSupport USA,@222739 Thanks. Let's get you in the right place. Our Apple TV specialist will be able to assist you here: https://t.co/IBIY3vMgPj,other_unclear,Only says “USA”; there is no identifiable support intent.
1795727,"@AppleSupport @115858 my iPhone 6s getting stuck, when i tap on call icon. It recovers after 30 sec’s. This is f***ing horrible. Kindly help",@502931 We certainly want to assist. Which iOS version are you using under Settings &gt; General &gt; About? Is this happening with any other apps?,performance_freezing,iPhone gets stuck when tapping the Call icon and takes ~30 seconds to recover.
2306696,@AppleSupport I already have that update. Still have the glitch. &amp; it’s extending to the new things that I just explained.,"@669179 Got it. We'd like to look into this further with you. Send us a DM, and we'll continue helping out from there. https://t.co/GDrqU22YpT",ios_update_issue,Customer already installed the update and still has the glitch; update is central context.
764875,@115858 why is my iPhone 8 going dead within two hours??? Need to swap to team #Samsung,@302810 We'd be happy to help. Send us a DM with a few details and we can start there. https://t.co/GDrqU22YpT,battery_issue,iPhone battery dies within two hours.
2799446,"Dude, @AppleSupport why have y’all made “I.T” pop up when I type “it”. I hate I.T ????? I need answers","@781042 Let's get your keyboard typing as you expect it to. Which device and software version are you using? Reply by DM, and we'll help from there. https://t.co/GDrqU22YpT",display_touch_issue,Keyboard/autocorrect behavior is producing an unwanted text transformation.
1700789,@115858 this damn autocorrection of “I” to “I️” is really fucking annoying,@515720 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,display_touch_issue,Explicitly complains about autocorrection; keyboard/text-input problem.
2680387,@AppleSupport I have 7 apps that need updating according to App Store. They have sat for 2 hours with no sign of updating?,"@681950 Hi. We'll be happy to help get those apps updated. First, have you tried a restart? Also, have you tried a different network?",apps_media_issue,Multiple App Store apps are stuck while updating; primary issue is app updating.
710059,"@AppleSupport Morning it’s 11.0.2 version that’s sorted by I can’t get Siri through the AirPods , play music recieve calls okay but Siri nothing thanks",@289784 Thank you for reaching out. We are here to help. Please DM us and we will continue from there. https://t.co/GDrqU22YpT,audio_call_issue,AirPods/Siri/audio behavior is failing while music and calls otherwise work.
2923637,Does anyone elses iphone skip while playing music as if you were listening to a scratched cd ??? This happened wth my old iphone and i just got this one in September &amp;&amp; now its doing it on this one too??  @AppleSupport,@809041 We want to help you play music on your iPhone. Is this happening with music synced from iTunes on a Mac or PC?,apps_media_issue,Music playback skips/stutters; explicitly a media playback problem.
210549,Idk why @115858 won’t improve the battery! My phone is always dying!,"@165823 Let us help out. Tell us more about the battery issue. Also, which iOS version are you running in Settings &gt; General &gt; About?",battery_issue,Phone battery is continually dying.
1753305,@AppleSupport updated my iOS from 11.0.3 to 11.1 hoping it would help the battery life. It’s even WORSE now. What is going on?!,@528136 We'll work with you on the battery life. Have you also tried these suggestions?: https://t.co/bivpdfBNJ6 Let us know.,battery_issue,Battery became worse after an iOS update; battery is the primary complaint.
1828198,@118936 @115858 what is happening with #AppStore #Apple I can’t connect it today with this message “Impossible connect AppStore” help 😱 https://t.co/yFrULfvwWB,@548666 We’re happy to help. Which device are you using? Does this also happen with the iTunes Store? Let us know via a DM. https://t.co/GDrqU22YpT,apps_media_issue,Unable to connect to the App Store.
2210660,"@AppleSupport had iPhone for 1yr, now battery drains itself overnight when it’s apparently doing nothing. I can’t go out without a power pack to recharge. I’ve turned off all updating, location, everything and it’s dreadful. What should I do???","@622699 We understand how important your battery life is, and we're here to help! To get started, send us a DM with your iPhone's current iOS version. We'll take a closer look at the issue together there. https://t.co/GDrqU22YpT",battery_issue,Battery drains overnight even when apparently idle.
820684,"Hey there @AppleSupport how can I share a home video?
Since it’s a home video Why there’s no sharing option here? https://t.co/4zayb9cYdh",@261509 Is this related to the convo we were having in DM a couple days ago? Did the guide we sent out not work for you? Just let us know!,how_to_feature_question,Asks how to share a home video / why a sharing option is unavailable.
925563,@AppleSupport ผมใช้ i6+ อัพ iOS ใหม่ ๆ แล้วไม่ประทับใจ แบตหมดไว เครื่องเพลงรวนเวลาถอดหูฟัง อยากกลับไปใช่ iOS ตัวเดิมเมื่อแรกซื้อได้ไหม,@381775 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,ios_update_issue,Customer is discussing the new iOS version and dissatisfaction with the update.
2841989,@AppleSupport y’all fix iPhone 7plus cameras that don’t work? (the cameras black front and back &amp; tried everything y’all said on the website) and if so how much $$ are we talking,@790746 We don't want you to be left without your camera! Let's chat in Direct Message. We'll get the details of your iPhone and see what needs to be done. https://t.co/GDrqU22YpT,other_unclear,"Camera failure is the real issue, but our taxonomy has no camera/hardware intent. Taxonomy gap."
2010292,@AppleSupport my iPhone sucks now after the update and i can’t do anything what happened????????????,@594446 We've got your back. Share with us in DM more info that's going on with your iPhone so we can start looking into this with you. https://t.co/GDrqU22YpT,ios_update_issue,Customer directly attributes the phone problems to the update.
667816,"@AppleSupport From past many days, i am getting blur and exclamation mark on all pics. Also i am unable to share these because of this issue. Kindly help! https://t.co/fJezigQYRx",@279187 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,apps_media_issue,Photos are blurry/marked and cannot be shared; primary issue concerns photo/media handling.
308933,@AppleSupport can you please direct me to a forum or link w/ how to properly replace your Podcast artwork from SoundCloud to iTunes Podcasts,@189766 We'd like to know more about your issue. Could you join us in DM with more details? https://t.co/GDrqU22YpT,how_to_feature_question,Explicitly asks how to replace Podcast artwork.
1581412,"Dear @115858,

If I️ wanted Android problems I’ll go get one. 🙄 

This ? mark is blowing me",@486831 This article can help with this issue: https://t.co/xU1AGHStV6 Please DM us if the issue continues. https://t.co/GDrqU22YpT,other_unclear,Angry statement without a specific actionable support problem.
1900859,"@AppleSupport Ok, but let’s not pretend I’m the only one with this issue.",@414332 We're all here to help. Let's start with its model and if it has iOS 11.0.3 installed. Any steps tried? Please DM us here: https://t.co/GDrqU22YpT,other_unclear,Refers to “this issue” but gives no information about the issue itself.
2278626,"@AppleSupport I never received an email about recovering account &amp; apple id, locked out,need proof of ownership for missing mac mini help!",@662530 We'd like to help. Have you tried to check the status of your recovery: https://t.co/nXAGZj0EE7,account_icloud_issue,Apple ID/account recovery and lockout; proof of ownership is also mentioned.
181400,how is it that I’ve never had a phone work properly from @115858,@158613 You've come to the right place today! What seems to be the issue? We're happy to help.,other_unclear,General frustration about phone reliability but no concrete problem identified.
2079298,Ever since I updated my phone apps aren’t working. Keyboard lags. My lock screen isn’t showing the time. 6 restarts. Good job @115858,"@614952 We'd like to know more about the trouble you're having, it's not the experience we want you to have. Let's chat in DM. https://t.co/GDrqU22YpT",ios_update_issue,Multiple symptoms began after updating; use update as the primary/root intent. Note: multi-intent message.
2691830,I have never disliked Apple as much as I do right now The latest update has messed up my personalized ringtone how sensitive (delayed)my screen is my battery life etc. etc. @115858 I hope they have a fixed coming soon #iphone #Apple #Sad 😠,@756686 We want to help. How long ago did you complete the latest update? Let us know in DM. https://t.co/GDrqU22YpT,ios_update_issue,"Update is blamed for multiple problems: ringtone, display responsiveness, battery, etc. Multi-intent; update is the common trigger."
35986,@AppleSupport I am an iPhone user n I like  apple earphones the most but one of ear plug is not working. bought my i phone in May2016. I am in canada,"@753080 We can help you with some options. Did these EarPods come with your iPhone? Also, have you tested them with another device?",audio_call_issue,One earbud/earphone is not working; audio-output problem.
1513419,@AppleSupport I ORDERED IPHONE X TO BE DELIVERED TO MY HOUSE AND THEY SAY I CANT PAY WITH GIFT CARDS OR TO TRADE MY IPHONE 7 IM REPLACING,@471177 That's a question best suited for our Sales team. You can reach out to them here: https://t.co/8yjRd1Xo0i,purchase_order_support,iPhone order plus payment/gift-card/trade-in issue.
448350,Bruh if  my phone keep losing battery while plugged in I’m squaring up @AppleSupport,@221214 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,charging_issue,Battery continues losing charge while plugged in; primary problem is charging behavior.
1674780,@115858 you gonna fix this dumb shit https://t.co/JwVtStMWpO,@509571 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_unclear,Angry request with only a link and no explicit problem.
1442834,"Updated my phone to latest IOS, worst mistake I’ve made to date. phone running super slow &amp; keeps crashing. #Avoid #Worst  @AppleSupport",@454779 That's not what we want you to experience. Does this happen with all apps or just one specifically?,ios_update_issue,Customer explicitly says the latest iOS caused slowness/crashes.
2306698,so now the iPhone glitch is showing up for lower case i or even words like it. WTF @AppleSupport,"@669179 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",display_touch_issue,Keyboard/autocorrect converts lowercase “i”/words unexpectedly.
1147915,@AppleSupport socorro!!! Não aguento mais comprar celular poxa. Da uma ajuda aí!!!,"@390151 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",other_unclear,Portuguese message is a general plea for help without a specific issue.
