tweet_id,customer_message,response
2293470,"@AppleSupport I had 7,000 pictures, now I only have 180... where the hell are my pictures???",@666005 We want to help. Which iOS version are you on?
2567097,@AppleSupport (in the current environment we are never sure that the activation lock screen is from iOS ...),@728195 We want to do our best to address your concerns. Let's go ahead and meet in DM and we'll continue there. https://t.co/GDrqU2kzhr
1582072,@AppleSupport I restarted my MacBook but a folder with a question mark on it appeared on the screen and flashed.,@232196 Got it. Give these steps a try and let us know how it goes: https://t.co/D7AZk8szDr
154478,"Hey @AppleSupport, little weather app bug https://t.co/GPVTnW2d8x",@151403 We'd love to look into this with you. Which version of the operating system is your iPhone running? Does this happen with any other city or zip code? Have you restarted your iPhone since this started?
1584688,Umm the x can’t show battery percentage ? @AppleSupport I’ll be upset I can’t be guessing battery life,@487627 Congratulations on your new iPhone X! You can view the battery percentage through the Control Center on the device.
2502050,"@AppleSupport why does my music app now not work? Whenever I go on it it just crashes, I love to listen to music but I can’t now because of this bug. Please respond",@713680 Let's get working on this so you can enjoy your music again. Are you an Apple Music subscriber or do you purchase and/or sync music through iTunes?
2297349,"@AppleSupport I have the High Sierra version ! It doesn’t crash the application it just ends the call. Now if I don’t open iTunes i can’t forward or rewind a song, I have to be on the app then exit .. it’s just all malfunctioning",@596017 Got it. Let's go ahead and meet within DM here so we can look into this with you further: https://t.co/GDrqU22YpT
2271820,@AppleSupport How do I retrograde iOS 11 to 10 on my iPhone 6. It should have never permitted the update because 11 has made it SO SLOW.,@660929 We'd like to look into this with you. Click here to join us in DM: https://t.co/GDrqU22YpT
2020322,@TwitterSupport why does my twitter crash whenever i try to open a photo tf is going on @AppleSupport you too can chime in whenever,"@597460 We'd like to assist. Which iOS does this occur on? Also, are you showing any updates in the App Store? Let us know in DM. https://t.co/GDrqU22YpT"
488064,My computer is running slower than a one-legged turtle in molasses. Hey @115858 can y'all work out the bugs BEFORE you release an OS update?,"@231179 Hey there. Let's see if we can get that Mac to speed up for you. Please follow the steps in this article to improve your performance: 

https://t.co/BYPMWmsijV"
567703,"@AppleSupport I keep plugging my phone in, but it won't charge and keeps saying accessory not supported. It's not a portable third party thing either, I'm using the cable that come with the phone. It's an Iphone 7 with the newest iOS update.","@253158 Help has arrived. Based on that message, try the applicable steps in the section ""If an alert says that your accessory isn't supported or certified"" here: https://t.co/uqxquyfdn0

Let us know in DM if that helps. https://t.co/GDrqU22YpT"
2286708,@AppleSupport I️m on the iPhone 6 and it started after the update before the last IOS,@664424 Do you generally only notice this if you’re currently using your keyboard? Please let us know in DM to proceed. https://t.co/GDrqU22YpT
2727020,Apple needs to get their shit together when it comes to updates. EVERY SINGLE TIME I download the new update my phone stops working property tf! So freaking annoying!!! 😒@115858 @AppleSupport @118936 @115948,@672104 Having your iPhone work as you expect is our goal. Let's pair up in DM to get a closer look at what you're seeing with that update. https://t.co/GDrqU22YpT
2321165,"@AppleSupport I have wifi assist off !! Its weird coz I have two phones and carry them both (iPhone8 and iPhoneX) , this issue is only on X. It only started after upgrading. Anyways, I ll monitor it more and respond back if problem persists.","@672656 Definitely keep us in the loop, we're here for you."
2050982,@AppleSupport Everything is fine in contacts app. Numbers are all still there. Just seems like “recents” is blowing out the info I actually want to see.,@165736 We'll be glad to assist. What happens if you type in the phone number instead of the contact name? You can send us a DM. https://t.co/GDrqU22YpT
1558116,"Yes,@115858 please fix it 

https://t.co/jrK3xisHLh","@481592 Hi. We are here to help. Check out this link which should help:

https://t.co/xU1AGHStV6"
268245,@AppleSupport en alguna de sus actualizaciones arreglaran algo que en realidad sirva en su basura de #iOS11 ? Mi iPad lleva dos dias así... https://t.co/6vpanZrJeW,@179964 We offer support via Twitter in English.Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
152849,@AppleSupport Hotmail sending worked after installing the iOS 11.1.2 update. Thanks for your help.,"@150959 We're glad to hear you can send emails again. You're welcome. If you need any further help, let us know."
1234742,@AppleSupport USA,@222739 Thanks. Let's get you in the right place. Our Apple TV specialist will be able to assist you here: https://t.co/IBIY3vMgPj
1795727,"@AppleSupport @115858 my iPhone 6s getting stuck, when i tap on call icon. It recovers after 30 sec’s. This is f***ing horrible. Kindly help",@502931 We certainly want to assist. Which iOS version are you using under Settings &gt; General &gt; About? Is this happening with any other apps?
2306696,@AppleSupport I already have that update. Still have the glitch. &amp; it’s extending to the new things that I just explained.,"@669179 Got it. We'd like to look into this further with you. Send us a DM, and we'll continue helping out from there. https://t.co/GDrqU22YpT"
764875,@115858 why is my iPhone 8 going dead within two hours??? Need to swap to team #Samsung,@302810 We'd be happy to help. Send us a DM with a few details and we can start there. https://t.co/GDrqU22YpT
2799446,"Dude, @AppleSupport why have y’all made “I.T” pop up when I type “it”. I hate I.T ????? I need answers","@781042 Let's get your keyboard typing as you expect it to. Which device and software version are you using? Reply by DM, and we'll help from there. https://t.co/GDrqU22YpT"
1700789,@115858 this damn autocorrection of “I” to “I️” is really fucking annoying,@515720 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
2680387,@AppleSupport I have 7 apps that need updating according to App Store. They have sat for 2 hours with no sign of updating?,"@681950 Hi. We'll be happy to help get those apps updated. First, have you tried a restart? Also, have you tried a different network?"
710059,"@AppleSupport Morning it’s 11.0.2 version that’s sorted by I can’t get Siri through the AirPods , play music recieve calls okay but Siri nothing thanks",@289784 Thank you for reaching out. We are here to help. Please DM us and we will continue from there. https://t.co/GDrqU22YpT
2923637,Does anyone elses iphone skip while playing music as if you were listening to a scratched cd ??? This happened wth my old iphone and i just got this one in September &amp;&amp; now its doing it on this one too??  @AppleSupport,@809041 We want to help you play music on your iPhone. Is this happening with music synced from iTunes on a Mac or PC?
210549,Idk why @115858 won’t improve the battery! My phone is always dying!,"@165823 Let us help out. Tell us more about the battery issue. Also, which iOS version are you running in Settings &gt; General &gt; About?"
1753305,@AppleSupport updated my iOS from 11.0.3 to 11.1 hoping it would help the battery life. It’s even WORSE now. What is going on?!,@528136 We'll work with you on the battery life. Have you also tried these suggestions?: https://t.co/bivpdfBNJ6 Let us know.
1828198,@118936 @115858 what is happening with #AppStore #Apple I can’t connect it today with this message “Impossible connect AppStore” help 😱 https://t.co/yFrULfvwWB,@548666 We’re happy to help. Which device are you using? Does this also happen with the iTunes Store? Let us know via a DM. https://t.co/GDrqU22YpT
